Crash.ID,State,Month,Year,Dayweek,Time,Crash.Type,Bus.Involvement,Heavy.Rigid.Truck.Involvement,Articulated.Truck.Involvement,Speed.Limit,Road.User,Gender,Age,National.Remoteness.Areas,SA4.Name.2016,National.LGA.Name.2017,National.Road.Type,Christmas.Period,Easter.Period,Age.Group,Day.of.week,TimeOfDay,NumberOfAccidents
20211104,NSW,9,2021,Tuesday,8:00,Single,No,No,No,100,Driver,Male,64,Inner Regional Australia,Richmond - Tweed,Kyogle,Sub-arterial Road,No,No,40_to_64,Weekday,Day,1
20214067,SA,9,2021,Friday,14:45,Single,No,No,No,60,Pedestrian,Female,90,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,75_or_older,Weekday,Day,1
20212053,Vic,8,2021,Friday,19:48,Multiple,No,No,No,80,Driver,Male,77,Major Cities of Australia,Melbourne - South East,Monash (C),Arterial Road,No,No,75_or_older,Weekend,Night,1
20213023,Qld,8,2021,Monday,20:00,Multiple,No,No,No,110,Pedestrian,Male,17,Major Cities of Australia,Sunshine Coast,Sunshine Coast (R),National or State Highway,No,No,17_to_25,Weekday,Night,1
20213160,Qld,7,2021,Friday,14:00,Multiple,No,No,No,100,Driver,Male,60,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay (R),National or State Highway,No,No,40_to_64,Weekday,Day,1
20212029,Vic,7,2021,Thursday,17:30,Multiple,No,No,No,70,Motorcycle rider,Male,45,Major Cities of Australia,Melbourne - West,Brimbank (C),Local Road,No,No,40_to_64,Weekday,Day,1
20211012,NSW,7,2021,Thursday,21:41,Multiple,No,No,No,50,Motorcycle rider,Male,27,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road,No,No,26_to_39,Weekday,Night,1
20214044,SA,7,2021,Wednesday,11:20,Single,No,No,No,40,Pedestrian,Female,64,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield (C),Sub-arterial Road,No,No,40_to_64,Weekday,Day,1
20211176,NSW,6,2021,Saturday,12:23,Multiple,No,No,No,100,Driver,Female,19,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway,No,No,17_to_25,Weekend,Day,1
20213095,Qld,6,2021,Wednesday,8:00,Single,No,No,No,100,Passenger,Female,48,Outer Regional Australia,Darling Downs - Maranoa,Western Downs (R),National or State Highway,No,No,40_to_64,Weekday,Day,1
20211003,NSW,6,2021,Wednesday,13:28,Multiple,No,Yes,No,100,Driver,Female,69,Inner Regional Australia,Central West,Lithgow,National or State Highway,No,No,65_to_74,Weekday,Day,1
20212114,Vic,6,2021,Wednesday,7:06,Multiple,No,Yes,No,80,Motorcycle rider,Male,22,Major Cities of Australia,Melbourne - South East,Monash (C),National or State Highway,No,No,17_to_25,Weekday,Day,1
20212081,Vic,5,2021,Saturday,12:59,Single,No,No,No,80,Motorcycle rider,Male,43,Inner Regional Australia,Melbourne - North East,Mitchell (S),Collector Road,No,No,40_to_64,Weekend,Day,1
20213015,Qld,5,2021,Thursday,10:00,Single,No,No,No,100,Driver,Male,36,Remote Australia,Cairns,Tablelands (R),National or State Highway,No,No,26_to_39,Weekday,Day,1
20213011,Qld,5,2021,Tuesday,10:00,Single,No,No,No,60,Motorcycle rider,Male,66,Inner Regional Australia,Moreton Bay - South,Moreton Bay (R),Sub-arterial Road,No,No,65_to_74,Weekday,Day,1
20211119,NSW,5,2021,Wednesday,18:25,Single,No,Yes,No,80,Pedestrian,Male,69,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,65_to_74,Weekday,Night,1
20211014,NSW,4,2021,Wednesday,6:20,Multiple,No,No,Yes,100,Driver,Male,21,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,No,No,17_to_25,Weekday,Day,1
20213173,Qld,3,2021,Saturday,19:00,Single,No,No,No,100,Driver,Male,35,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay (R),Sub-arterial Road,No,No,26_to_39,Weekend,Night,1
20214060,SA,3,2021,Saturday,12:10,Multiple,No,No,No,110,Passenger,Female,57,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,40_to_64,Weekend,Day,1
20211143,NSW,3,2021,Sunday,10:10,Single,No,No,No,80,Driver,Male,81,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Collector Road,No,No,75_or_older,Weekend,Day,1
20213152,Qld,3,2021,Monday,16:00,Multiple,No,No,Yes,100,Driver,Male,20,Inner Regional Australia,Moreton Bay - North,Moreton Bay (R),National or State Highway,No,No,17_to_25,Weekday,Day,1
20213106,Qld,2,2021,Saturday,19:00,Multiple,No,No,No,80,Motorcycle rider,Male,29,Major Cities of Australia,Moreton Bay - South,Moreton Bay (R),Collector Road,No,No,26_to_39,Weekend,Night,1
